symbol,symbol_name,detected_at,review_category,missed_opportunity,mfe_pct,mae_pct,return_to_close_pct,time_to_high_min,final_decision,reason_code,block_source,missed_reason_detail,recoverable,would_have_passed_if_time_policy_relaxed,would_have_passed_if_order_guard_relaxed,blocked_after_buy_ready,order_guard_rule,order_guard_recoverable,time_bucket,sector_name,primary_theme,theme_names
168360,펨트론,2026-05-19 14:28:00,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,기계/장비,,
389470,인벤티지랩,2026-05-19 14:28:18,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,일반서비스,,
147760,피엠티,2026-05-19 14:29:14,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_CANDIDATE_CUTOFF,False,False,False,False,time_policy,False,14:20~close,의료/정밀기기,,
058430,포스코스틸리온,2026-05-19 14:29:30,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,금속,,
458870,씨어스,2026-05-19 14:29:42,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_CANDIDATE_CUTOFF,False,False,False,False,time_policy,False,14:20~close,의료/정밀기기,,
085660,차바이오텍,2026-05-19 14:29:47,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,제약,바이오_줄기세포치료제,바이오_줄기세포치료제
103140,풍산,2026-05-19 14:29:51,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,금속,비철금속주,비철금속주
028670,팬오션,2026-05-19 14:30:35,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,운송/창고,운송_해운,운송_해운
087010,펩트론,2026-05-19 14:31:31,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,제약,,
035810,이지홀딩스,2026-05-19 14:33:13,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,음식료/담배,배합사료,배합사료
005010,휴스틸,2026-05-19 14:33:59,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,금속,강관,강관
187790,나노,2026-05-19 14:34:47,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,화학,,
